ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
AddBlipForArea	Adds a rectangular blip for the specified coordinates/area.\n\nIt is recommended to use [SET_BLIP_ROTATION](#\\_0xF87683CDF73C3F6E) and [SET_BLIP_COLOUR](#\\_0x03D7FB09E75D6B7E) to make the blip not rotate along with the camera.\n\nBy default, the blip will show as a *regular* blip with the specified color/sprite if it is outside of the minimap view.\n\nExample image:\n![minimap](https://i.imgur.com/qLbXWcQ.png)\n![big map](https://i.imgur.com/0j7O7Rh.png)\n\n(Native name is *likely* to actually be ADD_BLIP_FOR_AREA, but due to the usual reasons this can't be confirmed)\n\n**Parameters**\n- `x`: The X coordinate of the center of the blip.\n- `y`: The Y coordinate of the center of the blip.\n- `z`: The Z coordinate of the center of the blip.\n- `width`: The width of the blip.\n- `height`: The height of the blip.\n\n**Returns** A handle to the blip.\n\n```lua\nlocal coords = GetEntityCoords(PlayerPedId())\nlocal blip = AddBlipForArea(coords.x, coords.y, coords.z, 100.0, 50.0)\nSetBlipRotation(blip, 0)\nSetBlipColour(blip, 0xFF00FF80)\n```
AddBlipForCoord	Creates a blip for the specified coordinates. You can use `SET_BLIP_` natives to change the blip.\n\n**Parameters**\n- `x`: The X coordinate to create the blip on.\n- `y`: The Y coordinate.\n- `z`: The Z coordinate.\n\n**Returns** A blip handle.\n\n```lua\nlocal destination = AddBlipForCoord(200.0, 200.0, 5.0)\n```
AddBlipForEntity	Create a blip that by default is red (enemy), you can use [SET_BLIP_AS_FRIENDLY](#\\_0xC6F43D0E) to make it blue (friend).\\\nCan be used for objects, vehicles and peds.\n\nExample of enemy:\n![enemy](https://i.imgur.com/fl78svv.png)\nExample of friend:\n![friend](https://i.imgur.com/Q16ho5d.png)\n\n**Parameters**\n- `entity`: The entity handle to create the blip.\n\n**Returns** A blip handle.\n\n```lua\nlocal blip = AddBlipForEntity(PlayerPedId()) -- This adds an enemy blip to yourself\n```
AddBlipForRadius	Create a blip with a radius for the specified coordinates (it doesnt create the blip sprite, so you need to use [AddBlipCoords](#\\_0xC6F43D0E))\n\nExample image:\n![example](https://i.imgur.com/9hQl3DB.png)\n\n**Parameters**\n- `posX`: The x position of the blip (you can also send a vector3 instead of the bulk coordinates)\n- `posY`: The y position of the blip (you can also send a vector3 instead of the bulk coordinates)\n- `posZ`: The z position of the blip (you can also send a vector3 instead of the bulk coordinates)\n- `radius`: The number that defines the radius of the blip circle\n\n**Returns** The blip handle that can be manipulated with every `SetBlip` natives\n\n```lua\nlocal coords = vector3(0.0, 0.0, 0.0)\n\nlocal blip = AddBlipForRadius(coords, 100.0) -- need to have .0\nSetBlipColour(blip, 1)\nSetBlipAlpha(blip, 128)\n```
AddCamSplineNode	```\nI filled p1-p6 (the floats) as they are as other natives with 6 floats in a row are similar and I see no other method. So if a test from anyone proves them wrong please correct.  \np7 (length) determines the length of the spline, affects camera path and duration of transition between previous node and this one  \np8 big values ~100 will slow down the camera movement before reaching this node  \np9 != 0 seems to override the rotation/pitch (bool?)  \n```
AddCamSplineNodeUsingCamera	Takes a camera and uses the information from it as a camera spline node.\n\n**Parameters**\n- `cam`: Camera to add cam2 as a node to\n- `cam2`: Camera used for reference\n- `length`: Duration used for transition, has no effect for the first node.
AddConvarChangeListener	Adds a listener for Console Variable changes.\n\nThe function called expects to match the following signature:\n\n```ts\nfunction ConVarChangeListener(conVarName: string, reserved: any);\n```\n\n*   **conVarName**: The ConVar that changed.\n*   **reserved**: Currently unused.\n\n**Parameters**\n- `conVarFilter`: The Console Variable to listen for, this can be a pattern like "test:\\*", or null for any\n- `handler`: The handler function.\n\n**Returns** A cookie to remove the change handler.
AddDecal	Places a decal into the world\n\n```cs\npublic enum DecalTypes  \n{  \n    splatters_blood = 1010,  \n    splatters_blood_dir = 1015,  \n    splatters_blood_mist = 1017,  \n    splatters_mud = 1020,  \n    splatters_paint = 1030,  \n    splatters_water = 1040,  \n    splatters_water_hydrant = 1050,  \n    splatters_blood2 = 1110,  \n    weapImpact_metal = 4010,  \n    weapImpact_concrete = 4020,  \n    weapImpact_mattress = 4030,  \n    weapImpact_mud = 4032,  \n    weapImpact_wood = 4050,  \n    weapImpact_sand = 4053,  \n    weapImpact_cardboard = 4040,  \n    weapImpact_melee_glass = 4100,  \n    weapImpact_glass_blood = 4102,  \n    weapImpact_glass_blood2 = 4104,  \n    weapImpact_shotgun_paper = 4200,  \n    weapImpact_shotgun_mattress,  \n    weapImpact_shotgun_metal,  \n    weapImpact_shotgun_wood,  \n    weapImpact_shotgun_dirt,  \n    weapImpact_shotgun_tvscreen,  \n    weapImpact_shotgun_tvscreen2,  \n    weapImpact_shotgun_tvscreen3,  \n    weapImpact_melee_concrete = 4310,  \n    weapImpact_melee_wood = 4312,  \n    weapImpact_melee_metal = 4314,  \n    burn1 = 4421,  \n    burn2,  \n    burn3,  \n    burn4,  \n    burn5,  \n    bang_concrete_bang = 5000,  \n    bang_concrete_bang2,  \n    bang_bullet_bang,  \n    bang_bullet_bang2 = 5004,  \n    bang_glass = 5031,  \n    bang_glass2,  \n    solidPool_water = 9000,  \n    solidPool_blood,  \n    solidPool_oil,  \n    solidPool_petrol,  \n    solidPool_mud,  \n    porousPool_water,  \n    porousPool_blood,  \n    porousPool_oil,  \n    porousPool_petrol,  \n    porousPool_mud,  \n    porousPool_water_ped_drip,  \n    liquidTrail_water = 9050  \n}  \n```\n\n**Parameters**\n- `decalType`: which type of decal to place, based on the ID, see `DecalTypes` enum.\n- `posX`: X position coordinate.\n- `posY`: Y position coordinate.\n- `posZ`: Z position coordinate.\n- `dirX`: X Orientation.\n- `dirY`: Y Orientation.\n- `dirZ`: Z Orientation.\n- `sideX`: Usually set to 0.\n- `sideY`: Usually set to 1.\n- `sideZ`: Usually set to 0.\n- `width`: Width of the decal.\n- `height`: Height of the decal.\n- `rCoef`: Red Color.\n- `gCoef`: Green Color.\n- `bCoef`: Blue Color.\n- `opacity`: Alpha Color.\n- `timeout`: The lifetime of the decal.\n- `isLongRange`: toggle further LOD draw distance.\n- `isDynamic`: toggle dynamics.\n- `useComplexColn`: use complex coloring.\n\n**Returns** An integer value representing the added decal index, will return `0` if the decal cannot be added.
AddDispatchSpawnBlockingAngledArea	To remove, see: [`REMOVE_DISPATCH_SPAWN_BLOCKING_AREA`](#\\_0x264AC28B01B353A5).\n\nSee [`IS_POINT_IN_ANGLED_AREA`](#\\_0x2A70BAE8883E4C81) for the definition of an angled area.\n\n**Parameters**\n- `x1`: X dimension of the angled area 'origin'\n- `y1`: Y dimension of the angled area 'origin'\n- `z1`: Z dimension of the angled area 'origin'\n- `x2`: X dimension of the angled area 'extent'\n- `y2`: Y dimension of the angled area 'extent'\n- `z2`: Z dimension of the angled area 'extent'\n- `width`: Width of the angled area
AddDoorToSystem	p5 only set to true in single player native scripts. Door hashes normally look like `PROP_[int]_DOOR_[int]` for interior doors and `PROP_BUILDING_[int]_DOOR_[int]` exterior doors but you can just make up your own hash if you want.\n\nIf scriptDoor is true, register the door on the script handler host (note: there's a hardcap on the number of script IDs that can be added to the system at a given time). If scriptDoor and isLocal are both false, the door is considered to be in a "Persists w/o netobj" state.\n\nA simple "localized" door-system (with hundreds/thousands of doors) can be created by setting p5, p6, and p7 to false and using EventHandlers to synchronize the states to: [DOOR_SYSTEM_SET_DOOR_STATE](#\\_0x6BAB9442830C7F53), [DOOR_SYSTEM_SET_OPEN_RATIO](#\\_0xB6E6FBA95C7324AC), [DOOR_SYSTEM_SET_HOLD_OPEN](#\\_0xD9B71952F78A2640), etc.\n\n**Parameters**\n- `doorHash`: A (unique) door system identifier\n- `modelHash`: Entity model hash\n- `x`: The X coordinate of the door object\n- `y`: The Y coordinate of the door object\n- `z`: The Z coordinate of the door object\n- `scriptDoor`: false; relies upon getNetworkGameScriptHandler.\n- `isLocal`: On true disables the creation `CRequestDoorEvent's` in [DOOR_SYSTEM_SET_DOOR_STATE](#\\_0x6BAB9442830C7F53).
AddEntityIcon	```\nExample:  \nGRAPHICS::ADD_ENTITY_ICON(a_0, "MP_Arrow");  \nI tried this and nothing happened...  \n```
AddEntityToAudioMixGroup	```\nAll found occurrences in b678d:\npastebin.com/ceu67jz8\n```
AddExplosion	```\nNativeDB Added Parameter 9: BOOL noDamage\n```\n\n```\nBOOL isAudible = If explosion makes a sound.  \nBOOL isInvisible = If the explosion is invisible or not.\nBOOL noDamage = false: damage || nodamage = true: no damage\n```\n\n```cpp\nenum eExplosionTag\n{\n DONTCARE = -1,\n GRENADE = 0,\n GRENADELAUNCHER = 1,\n STICKYBOMB = 2,\n MOLOTOV = 3,\n ROCKET = 4,\n TANKSHELL = 5,\n HI_OCTANE = 6,\n CAR = 7,\n PLANE = 8,\n PETROL_PUMP = 9,\n BIKE = 10,\n DIR_STEAM = 11,\n DIR_FLAME = 12,\n DIR_WATER_HYDRANT = 13,\n DIR_GAS_CANISTER = 14,\n BOAT = 15,\n SHIP_DESTROY = 16,\n TRUCK = 17,\n BULLET = 18,\n SMOKE_GRENADE_LAUNCHER = 19,\n SMOKE_GRENADE = 20,\n BZGAS = 21,\n FLARE = 22,\n GAS_CANISTER = 23,\n EXTINGUISHER = 24,\n PROGRAMMABLEAR = 25,\n TRAIN = 26,\n BARREL = 27,\n PROPANE = 28,\n BLIMP = 29,\n DIR_FLAME_EXPLODE = 30,\n TANKER = 31,\n PLANE_ROCKET = 32,\n VEHICLE_BULLET = 33,\n GAS_TANK = 34,\n BIRD_CRAP = 35,\n RAILGUN = 36,\n BLIMP2 = 37,\n FIREWORK = 38,\n SNOWBALL = 39,\n PROXMINE = 40,\n VALKYRIE_CANNON = 41,\n AIR_DEFENCE = 42,\n PIPEBOMB = 43,\n VEHICLEMINE = 44,\n EXPLOSIVEAMMO = 45,\n APCSHELL = 46,\n BOMB_CLUSTER = 47,\n BOMB_GAS = 48,\n BOMB_INCENDIARY = 49,\n BOMB_STANDARD = 50,\n TORPEDO = 51,\n TORPEDO_UNDERWATER = 52,\n BOMBUSHKA_CANNON = 53,\n BOMB_CLUSTER_SECONDARY = 54,\n HUNTER_BARRAGE = 55,\n HUNTER_CANNON = 56,\n ROGUE_CANNON = 57,\n MINE_UNDERWATER = 58,\n ORBITAL_CANNON = 59,\n BOMB_STANDARD_WIDE = 60,\n EXPLOSIVEAMMO_SHOTGUN = 61,\n OPPRESSOR2_CANNON = 62,\n MORTAR_KINETIC = 63,\n VEHICLEMINE_KINETIC = 64,\n VEHICLEMINE_EMP = 65,\n VEHICLEMINE_SPIKE = 66,\n VEHICLEMINE_SLICK = 67,\n VEHICLEMINE_TAR = 68,\n SCRIPT_DRONE = 69,\n RAYGUN = 70,\n BURIEDMINE = 71,\n SCRIPT_MISSILE = 72,\n RCTANK_ROCKET = 73,\n BOMB_WATER = 74,\n BOMB_WATER_SECONDARY = 75,\n MINE_CNCSPIKE = 76,\n BZGAS_MK2 = 77,\n FLASHGRENADE = 78,\n STUNGRENADE = 79,\n CNC_KINETICRAM = 80,\n SCRIPT_MISSILE_LARGE = 81,\n SUBMARINE_BIG = 82,\n EMPLAUNCHER_EMP = 83\n};\n```
AddExplosionWithUserVfx	\n\n**Parameters**\n- `explosionType`: See [`ADD_EXPLOSION`](#\\_0xE3AD2BDBAEE269AC).\n- `isAudible`: If explosion makes a sound.\n- `isInvisible`: If the explosion is invisible or not.
AddExtraCalmingQuad	Only 8 current rises can exist. If rises need to be changed, use REMOVE_EXTRA_CALMING_QUAD and then ADD_EXTRA_CALMING_QUAD again.\nAfter removing a rise, you will be able to add a rise again.\n\n**Returns** If succeeded to add, returns a rise index that can be used on REMOVE_EXTRA_CALMING_QUAD.\nIf failed to add, returns -1 (make sure you don't pass -1 to REMOVE_EXTRA_CALMING_QUAD).
AddHealthConfig	Adds new health config.\n\n**Parameters**\n- `configName`: Name of health config. Cannot be default game health config name.\n- `defaultHealth`: Default health value.\n- `defaultArmor`: Default armor value.\n- `fatiguedHealthThreshold`: Fatigued health threshold value.\n- `injuredHealthThreshold`: Injured health threshold value.\n- `dyingHealthThreshold`: Dying health threshold value.\n- `hurtHealthThreshold`: Hurt health threshold value.\n- `dogTakedownThreshold`: Dog takedown threshold value.\n- `writheFromBulletThreshold`: Writhe from bulled threshold value.\n- `meleeCardinalFatalAttack`: Melee cardinal fatal attack check value.\n- `invincible`: Invincible value.
AddHospitalRestart	```\nReturns the index of the newly created hospital spawn point.  \np3 might be radius?  \n```
AddLineToConversation	```cpp\nenum eAudibility {\n AUD_AUDIBILITY_NORMAL = 0,\n AUD_AUDIBILITY_CLEAR = 1,\n AUD_AUDIBILITY_CRITICAL = 2,\n AUD_AUDIBILITY_LEAD_IN = 3\n}\n```\n\n**Parameters**\n- `audibility`: See eAudibility
AddMinimapOverlay	Loads a minimap overlay from a GFx file in the current resource.\n\nIf you need to control the depth of overlay use [`ADD_MINIMAP_OVERLAY_WITH_DEPTH`](#\\_0xED0935B5).\n\n**Parameters**\n- `name`: The path to a `.gfx` file in the current resource. It has to be specified as a `file`.\n\n**Returns** A minimap overlay ID.
AddMinimapOverlayWithDepth	Loads a minimap overlay from a GFx file in the current resource.\n\n**Parameters**\n- `name`: The path to a `.gfx` file in the current resource. It has to be specified as a `file`.\n- `depth`: The depth of new overlay on the minimap. Pass `-1` for game to figure out the highest depth itself. Should not be greater than `0x7EFFFFFD`.\n\n**Returns** A minimap overlay ID.
AddNavmeshBlockingObject	Creates a navmesh blocking object, vehicles will avoid driving through this area.\n\nOnly 32 blocking objects may exist at a given time and must be manually managed. See [`REMOVE_NAVMESH_BLOCKING_OBJECT`](#\\_0x46399A7895957C0E) and [`onResourceStop`](https://docs.fivem.net/docs/scripting-reference/events/list/onResourceStop/)\n\n```cpp\nenum eBlockingObjectFlags {\n    // Default Flag\n    BLOCKING_OBJECT_DEFAULT = 0,\n    // Blocking object will block wander paths\n    BLOCKING_OBJECT_WANDERPATH = 1,\n    // Blocking object will block (regular) shortest-paths\n    BLOCKING_OBJECT_SHORTESTPATH = 2,\n    // Blocking object will block flee paths\n    BLOCKING_OBJECT_FLEEPATH = 4,\n    // Blocking object will block all paths\n    BLOCKING_OBJECT_ALLPATHS = 7,\n}\n```\n\n**Parameters**\n- `x`: The x coordinate to create the block on.\n- `y`: The y coordinate.\n- `z`: The z coordinate.\n- `width`: The width of the block.\n- `length`: The length of the block.\n- `height`: The height of the block.\n- `heading`: The heading of object in degrees.\n- `bPermanent`: A boolean indicating if the blocking object is permanent (`true`/`false`).\n- `flags`: Flag for the blocking object, refer to `eBlockingObjectFlags`.
AddNextMessageToPreviousBriefs	\n\n**Parameters**\n- `addToBrief`: Toggles if the next help message will be shown in Pause Menu > Info > Help.
AddOilDecal	```\nNativeDB Introduced: v2699\n```
AddOwnedExplosion	\n\n**Parameters**\n- `explosionType`: See [`ADD_EXPLOSION`](#\\_0xE3AD2BDBAEE269AC).\n- `isAudible`: If explosion makes a sound.\n- `isInvisible`: If the explosion is invisible or not.
AddPatrolRouteLink	connects/links 2 [route nodes](#\\_0x8EDF950167586B7C)\\\nimage representing the cyclic example below:\\\n![image](https://user-images.githubusercontent.com/55803068/188470866-c32c6a9f-a25d-4772-9b18-5be46e2c14a1.png)\n\n**Parameters**\n- `id1`: the id representing the first route node\n- `id2`: the id representing the second route node\n\n```lua\n-- these lines connect 1,2,3,4,5,6 in a cyclic manner (1 > 2 > 3 > 4 > 5 > 6 > 1)\n\n\nAddPatrolRouteLink(1,2)\nAddPatrolRouteLink(2,3)\nAddPatrolRouteLink(3,4)\nAddPatrolRouteLink(4,5)\nAddPatrolRouteLink(5,6)\nAddPatrolRouteLink(6,1)\n```
AddPatrolRouteNode	x2,y2 and z2 are the coordinates to which the ped should look at\n\n**Parameters**\n- `id`: is an integer that "identifies" the route node for linking to the route with ADD_PATROL_ROUTE_LINK.\n- `guardScenario`: can be "WORLD_HUMAN_GUARD_STAND" or "StandGuard"\n- `x1`: destination\n- `y1`: destination\n- `z1`: destination\n- `x2`: coordinates to which the ped should look\n- `y2`: coordinates to which the ped should look\n- `z2`: coordinates to which the ped should look\n- `waitTime`: written in ms\n\n```lua\n-- the guard will go toward vector3(1.0, 1.0, 1.0) coordinates looking toward vector3(0.0, 0.0, 0.0) coordinates waiting 1000ms with the WORLD_HUMAN_GUARD_STAND animation\nAddPatrolRouteNode(1, "WORLD_HUMAN_GUARD_STAND", vector3(1.0, 1.0, 1.0), vector3(0.0, 0.0, 0.0), 1000)\n```
AddPedDecorationFromHashes	```\nApplies an Item from a PedDecorationCollection to a ped. These include tattoos and shirt decals.\ncollection - PedDecorationCollection filename hash\noverlay - Item name hash\nExample:\nEntry inside "mpbeach_overlays.xml" -\n<Item>\n  <uvPos x="0.500000" y="0.500000" />\n  <scale x="0.600000" y="0.500000" />\n  <rotation value="0.000000" />\n  <nameHash>FM_Hair_Fuzz</nameHash>\n  <txdHash>mp_hair_fuzz</txdHash>\n  <txtHash>mp_hair_fuzz</txtHash>\n  <zone>ZONE_HEAD</zone>\n  <type>TYPE_TATTOO</type>\n  <faction>FM</faction>\n  <garment>All</garment>\n  <gender>GENDER_DONTCARE</gender>\n  <award />\n  <awardLevel />\n</Item>\nCode:\nPED::_0x5F5D1665E352A839(PLAYER::PLAYER_PED_ID(), MISC::GET_HASH_KEY("mpbeach_overlays"), MISC::GET_HASH_KEY("fm_hair_fuzz"))\n```
AddPopMultiplierArea	```\nNativeDB Added Parameter 10: BOOL p9\n```
AddPopMultiplierSphere	```\nThis native is adding a zone, where you can change density settings. For example, you can add a zone on 0.0, 0.0, 0.0 with radius 900.0 and vehicleMultiplier 0.0, and you will not see any new population vehicle spawned in a radius of 900.0 from 0.0, 0.0, 0.0. Returns the id. You can have only 15 zones at the same time. You can remove zone using REMOVE_POP_MULTIPLIER_SPHERE\n```
AddRelationshipGroup	```\nCan't select void. This function returns nothing. The hash of the created relationship group is output in the second parameter.  \n```
AddReplaceTexture	Experimental natives, please do not use in a live environment.
AddRope	```\nCreates a rope at the specific position, that extends in the specified direction when not attached to any entities.\n__\nRope does NOT interact with anything you attach it to, in some cases it make interact with the world AFTER it breaks (seems to occur if you set the type to -1).\nRope will sometimes contract and fall to the ground like you'd expect it to, but since it doesn't interact with the world the effect is just jaring.\n```\n\nThere are 8 different rope types in the base game. Full rope data can be found in `ropedata.xml`.\n\n```cpp\nenum ePhysicsRopeType {\n    RopeThin = 0, // Verticies: 1, Radius: 0.03, Textures: rope & rope_n\n    RopeWire6 = 1, // Verticies: 4, Radius: 0.015, Textures: steel_cable & steel_cable_n\n    RopeWire32 = 2, // Verticies: 32, Radius: 0.025, Textures: steel_cable & steel_cable_n\n    RopeMesh = 3, // Verticies: 6, Radius: 0.03, Textures: rope & rope_n\n    RopeThinWire32 = 4, // Verticies: 32, Radius: 0.01, Textures: rope & rope_n\n    RopeReins = 5, // Verticies: 32, Radius: 0.005, Textures: rope & rope_n\n    RopeThin4 = 6, // Verticies: 4, Radius: 0.03, Textures: rope & rope_n\n    RopeWire64 = 7 // Verticies: 64, Radius: 0.025, Textures: steel_cable & steel_cable_n\n}\n```\n\n**Parameters**\n- `x`: Spawn coordinate X component.\n- `y`: Spawn coordinate Y component.\n- `z`: Spawn coordinate Z component.\n- `rotX`: Rotation X component.\n- `rotY`: Rotation Y component.\n- `rotZ`: Rotation Z component.\n- `maxLength`: The maximum length the rope can droop.\n- `ropeType`: The zero-based index of the entry in the `ropedata.xml` file. *NOTE: Using an index which does not exist will crash the game. As of game build 3258, valid values are from `0` to `7` inclusive.*\n- `initLength`: The initial length of the rope.\n- `minLength`: The minimum length the rope can be.\n- `lengthChangeRate`: The speed in which the rope will wind if winding is started.\n- `collisionOn`: Whether the rope should have collision. In original scripts this is followed by a LoadRopeData call when set.\n- `lockFromFront`: If max length is zero, and this is set to false the rope will become rigid (it will force a specific distance, what ever length is, between the objects).\n- `timeMultiplier`: The speed as which physics should run at. 1.0f is normal, 2.0f is twice as fast, -1.0f is time going backwards. This can affect gravity, etc.\n- `breakable`: Whether shooting the rope will break it.\n- `unkPtr`: Unknown pointer, always 0 in original scrips.\n\n**Returns** A script handle for the rope\n\n```lua\nlocal function cleanup_rope_textures()\n -- we only want to cleanup if there are no other ropes still left on the map\n -- otherwise we'll make them go invisible.\n if #GetAllRopes() == 0 then\n  -- there are no ropes on the map, we're safe to unload the textures.\n  RopeUnloadTextures()\n end\nend\n\nCreateThread(function()\n -- if textures aren't loaded then we need to load them\n if not RopeAreTexturesLoaded() then\n  -- load the textures so we can see the rope\n  RopeLoadTextures()\n  while not RopeAreTexturesLoaded() do\n   Wait(0)\n  end\n end\n\n -- Create a rope and store the handle\n local rope = AddRope(-2096.096, -311.906, 14.51, 0.0, 0.0, 0.0, 10.0, 1, 10.0, 0.0, 1.0, false, false, false, 1.0, false, 0)\n -- Check if the rope exists.\n if not DoesRopeExist(rope) then\n  cleanup_rope_textures()\n  -- If the rope does not exist, end the execution of the code here.\n  return\n end\n -- Let the rope exist for 3 seconds\n Wait(3000)\n -- Delete the rope!\n DeleteRope(rope)\n cleanup_rope_textures()\nend)\n```
AddScenarioBlockingArea	Sets an area where scenarios are blocked\n\n**Parameters**\n- `posMinX`: Min X Coordinate.\n- `posMinY`: Min Y Coordinate.\n- `posMinZ`: Min Z Coordinate.\n- `posMaxX`: Max X Coordinate.\n- `posMaxY`: Max Y Coordinate.\n- `posMaxZ`: Max Z Coordinate.\n- `network`: Optionally networked to all other players\n- `cancelActive`: Should this cause peds already in active scenario points in the area specified to leave\n- `blockPeds`: if this area effects scenarios with peds\n- `blockVehicles`: if this area effects scenarios with vehicles
AddScriptToRandomPed	```\nBRAIN::ADD_SCRIPT_TO_RANDOM_PED("pb_prostitute", ${s_f_y_hooker_01}, 100, 0);\n- Nacorpio\n-----\nHardcoded to not work in Multiplayer.\n```
AddShockingEventAtPosition	```\neventType: https://alloc8or.re/gta5/doc/enums/eEventType.txt\n```
AddShockingEventForEntity	```\neventType: https://alloc8or.re/gta5/doc/enums/eEventType.txt\n```
